IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.58.153.189,2053,0,false,ORD,North America,Chicago,305,0.00
15.222.62.175,2087,0,false,ORD,North America,Chicago,249,0.00
15.222.254.155,2052,0,false,ORD,North America,Chicago,244,0.00
13.58.43.16,2053,0,false,ORD,North America,Chicago,261,0.00
3.96.142.58,2083,0,false,ORD,North America,Chicago,249,0.00
3.96.92.88,80,0,false,ORD,North America,Chicago,250,0.00
3.129.64.170,2052,0,false,ORD,North America,Chicago,238,0.00
15.222.62.175,2083,0,false,ORD,North America,Chicago,310,0.00
15.223.66.150,443,0,false,ORD,North America,Chicago,316,0.00
15.222.62.138,2087,0,false,ORD,North America,Chicago,247,0.00
15.222.45.130,2082,0,false,ORD,North America,Chicago,249,0.00
15.223.66.150,2095,0,false,ORD,North America,Chicago,250,0.00
15.222.61.74,8443,0,false,ORD,North America,Chicago,281,0.00
15.157.62.93,8443,0,false,ORD,North America,Chicago,247,0.00
15.222.4.96,8080,0,false,ORD,North America,Chicago,254,0.00
15.222.4.96,2095,0,false,ORD,North America,Chicago,252,0.00
13.48.136.135,80,0,false,ARN,Europe,Stockholm,195,0.00
13.58.153.189,2082,0,false,ORD,North America,Chicago,265,0.00
13.58.153.189,2083,0,false,ORD,North America,Chicago,258,0.00
15.222.254.155,80,0,false,ORD,North America,Chicago,247,0.00
3.99.169.181,2053,0,false,ORD,North America,Chicago,262,0.00
3.99.169.181,2052,0,false,ORD,North America,Chicago,295,0.00
13.58.43.16,8080,0,false,ORD,North America,Chicago,248,0.00
15.222.4.96,8443,0,false,ORD,North America,Chicago,250,0.00
13.58.43.16,443,0,false,ORD,North America,Chicago,303,0.00
3.12.144.146,80,0,false,ORD,North America,Chicago,286,0.00
15.223.65.10,443,0,false,ORD,North America,Chicago,246,0.00
15.222.4.96,80,0,false,ORD,North America,Chicago,251,0.00
3.129.64.170,2083,0,false,ORD,North America,Chicago,298,0.00
15.222.4.96,2082,0,false,ORD,North America,Chicago,246,0.00
13.58.43.16,2052,0,false,ORD,North America,Chicago,242,0.00
16.16.162.196,80,0,false,ARN,Europe,Stockholm,197,0.00
15.223.65.10,8080,0,false,ORD,North America,Chicago,318,0.00
3.129.64.170,80,0,false,ORD,North America,Chicago,240,0.00
13.58.43.16,2087,0,false,ORD,North America,Chicago,258,0.00
15.222.61.74,2087,0,false,ORD,North America,Chicago,244,0.00
15.222.62.175,8443,0,false,ORD,North America,Chicago,326,0.00
15.223.115.169,2082,0,false,ORD,North America,Chicago,263,0.00
15.223.66.150,2086,0,false,ORD,North America,Chicago,251,0.00
13.58.43.16,8880,0,false,ORD,North America,Chicago,257,0.00
